,timestamp,username,tweet,likes_count,label
23947,2021-04-13 14:26:34,httpbenzoash,comunque non e normale questa disorganizzazione assurda sui vaccini ho prenotato il vaccino a mia nonna di 82 anni a febbraio e mi avete dato l appuntamento il 2 maggio adesso ci contattate dicendo di presentarsi domani senno perde il posto ma mia nonna e immunodepressa ,2680,2
19742,2021-04-27 10:45:06,robertoburioni,sento parlare di vaccini di varie nazionalita che non sono ancora approvati da ema e fda voi mi conoscete e non mi si puo definire antivaccinista sono stato uno dei primi a vaccinarsi contro covid 19 ma mai e poi mai mi farei iniettare un vaccino non approvato ,2601,2
28215,2021-04-05 23:13:50,robertoburioni,brutte notizie per i varianterroristi il vaccino pfizer evita l infezione asintomatica nei familiari dei malati questo in israele dove domina la variante inglese e sempre piu probabile che i vaccini a mrna prevengano il contagio e non solo la malattia ,2306,2
23378,2021-04-13 22:05:32,simonespetia,metteteci in grande maiuscolo grassetto lo sai che in un caso su un milione c e un rischio trombosi uno firma e si fa il vaccino non firma e non se lo fa pace e andiamo avanti ,1881,2
21888,2021-04-16 20:34:47,barbarab1974,figliuolo si e lasciato andare ad una dichiarazione mai nella storia dell uomo si era riusciti a produrre in cosi poco tempo un vaccino ma soprattutto si e iniettato in pochissimo tempo decine di milioni di dosi di vaccini senza saperne l esito se non quello sperimentale ,1792,2
26167,2021-04-08 15:20:01,guidocrosetto,ho l impressione che le colpe principali del vaccino astra zeneca visto che i numeri di episodi negativi sono inferiori ad altri vaccini siano quella di costare troppo poco e di non essere prodotto nelle nazioni giuste infatti non e ancora riuscito ad entrare in usa ,1657,2
23592,2021-04-13 18:34:56,madamea02,6 casi di trombosi su 7 milioni hanno sospeso il vaccino 6 casi su 7 milioni johnsonandjohnson,1586
29861,2021-04-01 11:50:43,gaiatortora,mia mamma over 80 oggi seconda dose vaccino grazie  vaccini,1446,1
23874,2021-04-13 15:13:03,pamelaferrara,il vaccino johnsonandjohnson e stato sospeso negli usa per 6 casi di trombosi 6 persone su 7 milioni di somministrazioni lo stesso numero di quelle che sono morte per essersi fatte un selfie con un ippopotamo,1439,1
29428,2021-04-02 13:55:08,bentivoglio_l,sono nella fascia nati anni 50 e gia fatta prima dose di vaccino i sessantenni sono salvi e tra pochissimo tocca ai cinquantenni tocca riconoscere che corre come treno tutto organizzato benissimo quando ce vo ce vo vaccini lazio,1332,1
26015,2021-04-08 20:38:56,sarabrgrx,roba da matti sta davvero dando la colpa alle persone giovani che sono state chiamate per il vaccino secondo lui dovevano rifiutare e non a chi organizza le liste e i criteri secondo cui distribuire i vaccini sul serioo ,1293,2
24821,2021-04-11 11:43:19,felice_chi,i media il vaccino provoca trombosi la gente non vogliamo piu vaccinarci i media ahahhahahaha che stupidi non si vogliono vaccinare,1270,0
22769,2021-04-14 18:51:57,giovaquez,figliuolo mai nella storia dell uomo si era riusciti a produrre in cosi poco tempo un vaccino ma soprattutto si e iniettato in pochissimo tempo decine di milioni di dosi di vaccini senza saperne l esito se non quello sperimentale tanto per rassicurare covid19,1159,
24805,2021-04-11 12:26:56,aledenicola,la pongo come domanda nel regno unito hanno utilizzato az a manetta concentrandosi sul primo vaccino e il crollo di contagi e morti e quasi piu impressionante di israele casi di morte x trombosi forse legati a vaccino pochissime unita e sensata la guerra anti az ,1085
21507,2021-04-18 15:58:45,borghi_claudio,e chiaro che burioni lavora per chi e contro i vaccini come trasformare un idea discutibile come il green pass in un concetto repulsivo e intollerabile notare la scelta delle parole impedire i movimenti a chi rifiuta il vaccino immagine volutamente evocativa del carcere ,1077
27062,2021-04-07 17:01:07,ministerosalute, come sono stati realizzati i vaccini anti covid19 grazie a uno straordinario sforzo internazionale e stato possibile avere i primi vaccini in tempi record il prof rezza ci spiega la strada per il vaccino guarda il video completo ,1052
